question_id,question,category
260,"What did you do for your most recent Thanksgiving?","Important Dates"
261,"What did you do for your most recent Christmas?","Important Dates"
262,"What did you do for your most recent New Year's?","Important Dates"
263,"What did you do on your most recent Valentine's Day?","Important Dates"
264,"What did you do on your most recent Mother's Day?","Important Dates"
265,"What did you do on your most recent Father's Day?","Important Dates"
266,"What did you do on your most recent US Independence Day (July 4)?","Important Dates"
267,"What did you give your spouse for Valentine's Day?","Important Dates"
268,"What did you give your spouse for their birthday?","Important Dates"
269,"What did you give your wife on Mother's Day?","Important Dates"
270,"What did you give your husband on Father's Day?","Important Dates"
271,"What did you give your spouse for Christmas?","Important Dates"
272,"What type of Christmas tree did you put up? Natural or artificial?","Important Dates"
273,"When is your anniversary and how do you celebrate it?","Important Dates"
274,"When is your spouse's birthday? How did you celebrate it last year?","Important Dates"
275,"What are important family traditions you observe together?","Important Dates"
276,"Do you celebrate any special cultural holidays?","Important Dates"
277,"What was the most recent holiday you celebrated together?","Important Dates"
