question_id,question,category
87,"Where do you currently live?","Housing"
88,"What color is the building?","Housing"
89,"How many rooms does the house have?","Housing"
90,"What color are the furniture, bedroom set, and other items?","Housing"
91,"How many TVs do you have?","Housing"
92,"What color is the carpet?","Housing"
93,"What color are the curtains?","Housing"
94,"What color is the refrigerator, dishwasher, and oven?","Housing"
95,"What color is the kitchen wall? Where do you dispose of garbage?","Housing"
96,"What color is the bathroom?","Housing"
97,"What color are both toothbrushes?","Housing"
98,"Do you have lamps on the nightstands?","Housing"
99,"How long have you lived at this address?","Housing"
100,"Looking at the bed from the foot, which side of the bed do you sleep on?","Housing"
101,"Where do you wash your clothes?","Housing"
102,"Do you have paintings in your room?","Housing"
103,"Where do you keep your underwear?","Housing"
104,"Where do you keep your clothes?","Housing"
105,"Where do you put the bread?","Housing"
106,"Where are the salt and pepper located?","Housing"
107,"How many air conditioning units are in the house and where are they located?","Housing"
108,"How many drawers does the dresser have?","Housing"
109,"Are there curtains in the shower or sliding doors?","Housing"
110,"Do you have streaming devices? Which ones?","Housing"
111,"Who else lives with you?","Housing"
112,"Are all rooms on the same side of the house?","Housing"
113,"What size bed do you have?","Housing"
114,"How many pillows do you and your spouse sleep with?","Housing"
115,"Describe your bedroom furniture, specify material and color","Housing"
116,"How many drawers does the nightstand have?","Housing"
117,"What type of lighting does your room have?","Housing"
118,"What color are the sheets?","Housing"
119,"What color is the comforter or bedspread?","Housing"
120,"What color are the pillowcases?","Housing"
121,"Which room in your house has ceiling fans? When and who installed them?","Housing"
122,"How many bathrooms does the house have?","Housing"
123,"What are the colors of the bathroom(s)?","Housing"
124,"Where are clean bathroom towels kept?","Housing"
125,"Where is the toothpaste kept?","Housing"
126,"Do you have a washer or dryer at home? Where is it located?","Housing"
127,"Where do you have dinner? Table, counter?","Housing"
128,"Where is the mail? Who collects it and who has the key?","Housing"
129,"Where do you keep dirty clothes?","Housing"
130,"Where do you keep shoes?","Housing"
131,"Is there an attic in the house and where is it?","Housing"
132,"Where do you keep holiday decorations?","Housing"
133,"Are there pets in the house? What animal, color, and breed?","Housing"
134,"Where is medicine kept in the house?","Housing"
135,"Do you have smart home devices? Which ones and where?","Housing"
136,"What day is trash collection?","Housing"
137,"Who is responsible for cleaning different areas of the home?","Housing"
138,"Do you have plants in your home? Where are they located?","Housing"
139,"Do you have family photos displayed? Where?","Housing"
140,"What's the WiFi password at your home?","Housing"
141,"Who waters the plants?","Housing"
142,"What temperature do you keep the thermostat at?","Housing"
143,"Do you have a home security system? What kind?","Housing"
